round,team1,seed1,team2,seed2,year,w_diff,l_diff,w-l%_diff,srs_diff,sos_diff,conf_w_diff,conf_l_diff,home_w_diff,home_l_diff,away_w_diff,away_l_diff,tm._diff,opp._diff,mp_diff,fg_diff,fga_diff,fg%_diff,3p_diff,3pa_diff,3p%_diff,ft_diff,fta_diff,ft%_diff,orb_diff,trb_diff,ast_diff,stl_diff,blk_diff,tov_diff,pf_diff,opp_fg_diff,opp_fga_diff,opp_fg%_diff,opp_3p_diff,opp_3pa_diff,opp_3p%_diff,opp_ft_diff,opp_fta_diff,opp_ft%_diff,opp_orb_diff,opp_trb_diff,opp_ast_diff,opp_stl_diff,opp_blk_diff,opp_tov_diff,opp_pf_diff,pace_diff,ortg_diff,ftr_diff,3par_diff,ts%_diff,trb%_diff,ast%_diff,stl%_diff,blk%_diff,efg%_diff,tov%_diff,orb%_diff,ft/fga_diff,opp_pace_diff,opp_ortg_diff,opp_ftr_diff,opp_3par_diff,opp_ts%_diff,opp_trb%_diff,opp_ast%_diff,opp_stl%_diff,opp_blk%_diff,opp_efg%_diff,opp_tov%_diff,opp_orb%_diff,opp_ft/fga_diff,pts_diff,opp_diff,mov_diff,osrs_diff,dsrs_diff,drtg_diff,nrtg_diff,target
0,UConn,1,Stetson,16,2024,15.0,-10.0,29.600000000000005,31.79,11.94,7.0,-3.0,2.0,-2.0,3.0,-7.0,4.6000000000000085,-9.899999999999999,-0.10000000000000142,2.299999999999997,0.5,3.3999999999999977,-0.4399999999999995,-0.6999999999999993,-0.7000000000000006,0.5999999999999996,1.1999999999999993,-2.300000000000002,2.01,4.099999999999994,5.399999999999999,0.8100000000000005,2.33,-0.9299999999999997,1.6000000000000014,-4.900000000000002,-4.899999999999999,-4.899999999999999,-2.04,-4.800000000000001,-2.300000000000002,2.1000000000000014,2.6999999999999993,1.0000000000000009,-1.2199999999999989,-4.600000000000001,-3.8000000000000007,-0.5900000000000007,0.38000000000000034,1.0299999999999994,0.0,-1.5,9.899999999999991,0.017000000000000015,-0.014999999999999958,2.500000000000002,629.9999999999998,1470.0000000000002,140.00000000000003,619.9999999999999,2.9999999999999916,-129.9999999999999,760.0000000000001,0.005999999999999978,-1.5,-12.299999999999997,0.068,-0.05099999999999999,-4.600000000000004,-629.9999999999998,-589.9999999999999,-70.00000000000011,80.00000000000007,-6.1,170.0000000000001,-410.0000000000001,0.05300000000000002,-4.6000000000000085,9.899999999999999,-14.54,-12.809999999999999,-18.98,25.540000000000006,-45.93,1
0,Florida Atlantic,8,Northwestern,9,2024,3.0,-3.0,8.799999999999997,0.4900000000000002,-3.8899999999999997,2.0,-4.0,-2.0,-1.0,1.0,-2.0,8.700000000000003,4.300000000000011,0.19999999999999574,3.0,3.3999999999999986,2.2999999999999963,0.16999999999999993,2.8000000000000007,-3.9000000000000035,2.6000000000000014,4.400000000000002,-3.200000000000003,3.0700000000000003,6.700000000000003,-0.6999999999999993,0.14999999999999947,-0.03000000000000025,2.58,-1.5,3.1000000000000014,9.0,-1.6000000000000014,0.7400000000000002,2.599999999999998,-0.6999999999999951,-2.700000000000001,-3.8000000000000007,0.6000000000000005,2.08,0.7000000000000028,-3.5,1.0899999999999999,-1.44,-0.8000000000000007,1.3000000000000007,4.299999999999997,5.0,0.056999999999999995,0.027000000000000024,1.8999999999999906,439.9999999999999,-850.0,-50.0,-170.00000000000003,2.100000000000002,200.0,769.9999999999999,0.031,4.299999999999997,-0.7999999999999972,-0.12,-0.013000000000000012,-2.6000000000000023,-439.9999999999999,-2020.0000000000002,109.99999999999997,-409.99999999999994,-1.9000000000000017,-230.00000000000006,139.99999999999986,-0.08499999999999996,-8.700000000000003,-4.300000000000011,-4.390000000000001,-6.33,5.84,-1.6299999999999955,-0.3100000000000023,0
0,San Diego State,5,UAB,12,2024,3.0,-1.0,4.5999999999999925,9.54,4.639999999999999,-1.0,1.0,2.0,-4.0,-1.0,3.0,-3.4000000000000057,-8.399999999999991,0.10000000000000142,-1.0,-1.0,-0.9000000000000008,0.8600000000000003,3.3999999999999986,-1.200000000000001,-2.3000000000000007,-2.6000000000000014,-1.3000000000000012,-1.200000000000001,-0.20000000000000284,-0.5,0.6899999999999995,-0.5099999999999998,-0.40000000000000036,1.5999999999999996,-3.6999999999999993,-3.3999999999999986,-3.8999999999999977,-0.39000000000000057,1.0999999999999979,-3.3999999999999977,-0.40000000000000036,-0.3000000000000007,-1.100000000000001,-1.1000000000000014,-1.1000000000000014,-1.6999999999999993,-0.9199999999999999,-1.1099999999999999,0.9000000000000004,-0.1999999999999993,-1.7000000000000028,-2.5,-0.038000000000000034,0.063,-0.6000000000000005,69.99999999999957,-10.000000000000142,120.00000000000011,9.999999999999964,-0.10000000000000009,-9.999999999999964,-229.99999999999972,-0.032999999999999974,-1.7000000000000028,-10.0,0.013000000000000012,0.04299999999999998,-3.500000000000003,-69.99999999999957,60.00000000000014,-109.99999999999997,-189.99999999999986,-3.9999999999999982,170.0000000000001,-300.0,0.006000000000000005,3.4000000000000057,8.399999999999991,-5.029999999999999,1.0699999999999994,-10.61,12.280000000000001,-13.889999999999999,1
0,Auburn,4,Yale,13,2024,4.0,-2.0,7.400000000000007,17.830000000000002,7.25,2.0,2.0,6.0,-1.0,-4.0,-1.0,8.399999999999991,0.7999999999999972,-0.6000000000000014,1.0999999999999979,0.8999999999999986,0.8999999999999952,0.7000000000000002,1.8999999999999986,0.10000000000000009,5.699999999999999,6.699999999999999,4.300000000000004,1.3199999999999985,1.2999999999999972,2.8000000000000007,1.1900000000000004,2.9599999999999995,1.1199999999999992,4.299999999999999,-1.5,1.2000000000000028,-3.4999999999999973,-2.169999999999999,-4.400000000000002,-3.600000000000003,6.0,8.3,-0.20000000000000018,3.2300000000000004,1.8999999999999986,-4.129999999999999,1.1400000000000006,-0.1299999999999999,1.700000000000001,2.8999999999999986,4.800000000000011,6.0,0.10599999999999998,0.026000000000000023,2.6999999999999913,-50.0,770.0000000000002,120.00000000000011,630.0000000000001,1.4000000000000012,59.999999999999964,400.0,0.09099999999999997,4.800000000000011,-4.099999999999994,0.13599999999999995,-0.08499999999999996,-3.300000000000003,50.0,-1450.0,120.00000000000011,-19.99999999999993,-5.3999999999999995,90.00000000000003,650.0,0.099,-8.399999999999991,-0.7999999999999972,-7.5600000000000005,-13.3,-4.53,11.36999999999999,-24.43,0
0,BYU,6,Duquesne,11,2024,-2.0,-1.0,0.0,11.979999999999999,3.1800000000000006,0.0,0.0,3.0,-2.0,-2.0,1.0,10.800000000000011,3.200000000000003,0.0,4.300000000000001,6.399999999999999,2.400000000000002,3.5599999999999996,9.8,0.7999999999999952,-1.299999999999999,-2.299999999999997,2.200000000000002,1.4000000000000004,4.700000000000003,5.1,-1.5499999999999998,-1.35,-1.0,0.5999999999999979,1.8999999999999986,3.799999999999997,0.40000000000000036,-0.17999999999999972,-0.8000000000000007,0.20000000000000018,-0.3000000000000007,-0.10000000000000142,-1.0000000000000009,-1.4000000000000004,-0.8999999999999986,-0.5,-0.29000000000000004,-1.4299999999999997,-1.9000000000000004,-1.5999999999999979,3.0,10.900000000000006,-0.069,0.11499999999999999,3.699999999999992,380.00000000000045,939.9999999999999,-269.99999999999994,-500.0,4.5000000000000036,-200.0,229.99999999999972,-0.04400000000000001,3.0,0.29999999999999716,-0.025999999999999968,-0.03699999999999998,-0.5000000000000004,-380.00000000000045,-590.0000000000006,-80.00000000000007,-340.00000000000006,-0.10000000000000009,-280.00000000000006,-529.9999999999998,-0.02099999999999999,-10.800000000000011,-3.200000000000003,-7.58,-13.540000000000001,1.5599999999999996,2.3400000000000034,-16.76,0
0,Illinois,3,Morehead State,14,2024,3.0,0.0,2.0000000000000018,19.049999999999997,15.059999999999999,0.0,2.0,1.0,2.0,-3.0,-2.0,8.100000000000009,9.899999999999999,0.29999999999999716,2.1000000000000014,4.299999999999997,0.19999999999999463,-1.0600000000000005,-2.200000000000003,-1.200000000000001,4.999999999999998,6.100000000000001,3.0000000000000027,1.200000000000001,1.6999999999999957,-1.6999999999999993,-1.5199999999999996,-0.8100000000000005,-1.200000000000001,-0.6000000000000014,5.0,6.300000000000004,3.8999999999999977,0.3899999999999997,-1.0,3.9000000000000035,-0.29999999999999893,0.1999999999999993,-3.0000000000000027,0.6600000000000001,2.400000000000002,2.639999999999999,-0.16999999999999993,0.6400000000000001,-1.7899999999999991,3.0000000000000018,3.8999999999999915,4.5,0.07800000000000001,-0.066,0.0,-89.99999999999986,-990.0000000000006,-270.0,-370.0000000000001,-1.200000000000001,-259.99999999999994,30.000000000000426,0.06600000000000003,3.8999999999999915,8.200000000000003,-0.025999999999999968,-0.049000000000000044,2.500000000000002,89.99999999999986,210.00000000000014,-80.00000000000007,30.00000000000007,3.6999999999999975,-300.0,100.0,-0.026999999999999996,-8.100000000000009,-9.899999999999999,1.83,-19.71,0.6699999999999999,7.180000000000007,-25.560000000000002,1
0,Washington State,7,Drake,10,2024,-3.0,3.0,-8.600000000000009,2.9399999999999995,5.3500000000000005,-2.0,2.0,-1.0,2.0,0.0,-1.0,-6.400000000000006,-3.700000000000003,-0.7000000000000028,-1.1999999999999993,-0.8999999999999986,-1.3999999999999957,-2.2,-4.599999999999998,-2.6999999999999966,-1.6999999999999993,-1.0,-4.900000000000004,3.259999999999999,3.3000000000000043,-3.5999999999999996,-1.29,3.31,1.2699999999999996,0.3000000000000007,-1.5,-0.6000000000000014,-2.200000000000002,-1.63,-4.5,-0.7000000000000006,0.8000000000000007,0.6000000000000014,2.500000000000002,0.9699999999999998,-1.1999999999999957,0.3000000000000007,0.13999999999999968,-0.03000000000000025,-1.9000000000000004,-0.1999999999999993,-2.0,-4.0,-0.01200000000000001,-0.07200000000000001,-3.499999999999992,309.99999999999943,-1050.0,-149.99999999999991,800.0,-3.1000000000000028,169.99999999999994,869.9999999999999,-0.024999999999999994,-2.0,-0.5999999999999943,0.014000000000000012,-0.07700000000000001,-2.6000000000000023,-309.99999999999943,380.00000000000045,60.00000000000006,-80.00000000000007,-3.500000000000003,-200.0,210.00000000000014,0.017999999999999988,6.400000000000006,3.700000000000003,2.709999999999999,4.739999999999999,-7.670000000000001,4.8300000000000125,-4.030000000000001,1
0,Iowa State,2,South Dakota State,15,2024,7.0,-5.0,15.500000000000004,21.78,11.21,1.0,1.0,7.0,-3.0,-1.0,0.0,-1.1000000000000085,-9.599999999999994,-0.29999999999999716,-0.7999999999999972,0.5,-1.8999999999999961,-1.92,-4.899999999999999,-0.7000000000000006,2.5,3.8000000000000007,-0.8000000000000007,2.34,-1.5,2.799999999999999,4.210000000000001,-0.15000000000000036,-0.8000000000000007,2.1999999999999993,-4.199999999999999,-7.799999999999997,-1.8999999999999961,-2.3900000000000006,-4.599999999999998,-3.3999999999999977,1.3999999999999986,2.599999999999998,-3.7000000000000033,0.7900000000000009,-0.29999999999999716,-0.20000000000000107,-0.75,0.6199999999999997,5.899999999999999,1.0,-0.6999999999999886,0.20000000000000284,0.062,-0.08900000000000002,-2.7999999999999914,-89.99999999999986,1200.0,639.9999999999999,60.00000000000014,-3.500000000000003,-129.9999999999999,600.0,0.04100000000000001,-0.6999999999999886,-12.400000000000006,0.09099999999999997,-0.01799999999999996,-2.200000000000002,89.99999999999986,920.0000000000002,-90.00000000000003,40.000000000000036,-2.9000000000000026,769.9999999999999,469.99999999999994,0.05499999999999999,1.1000000000000085,9.599999999999994,-8.489999999999998,-5.9799999999999995,-15.8,21.040000000000006,-30.630000000000003,1
1,UConn,1,Northwestern,9,2024,15.0,-9.0,27.800000000000004,13.93,0.1999999999999993,6.0,-6.0,1.0,-2.0,5.0,-4.0,8.100000000000009,-5.699999999999996,-0.7000000000000028,3.1999999999999993,1.6000000000000014,4.199999999999998,0.3200000000000003,2.8000000000000007,-3.200000000000003,1.4000000000000004,2.0,-0.9000000000000008,3.17,7.399999999999999,3.0999999999999996,-0.8799999999999999,2.3,0.75,-1.3000000000000007,-1.3000000000000007,4.399999999999999,-5.8999999999999995,-0.9100000000000001,-0.9000000000000021,-3.1999999999999975,-2.0999999999999996,-2.900000000000002,0.40000000000000036,1.0600000000000005,-3.299999999999997,-4.0,0.4399999999999995,-0.96,-1.8000000000000007,-0.09999999999999787,1.2000000000000028,12.099999999999994,0.027000000000000024,0.038000000000000034,3.8999999999999924,789.9999999999999,420.0000000000003,-139.99999999999986,469.99999999999994,4.299999999999993,50.0,1100.0000000000005,0.016999999999999987,1.2000000000000028,-8.700000000000003,-0.08200000000000002,-0.044999999999999984,-6.800000000000006,-789.9999999999999,-1450.0,69.99999999999993,-239.99999999999986,-7.1000000000000005,-270.0000000000001,-110.00000000000014,-0.05699999999999997,-8.100000000000009,5.699999999999996,-13.74,-7.299999999999999,-6.640000000000001,8.680000000000007,-19.950000000000003,1
1,San Diego State,5,Yale,13,2024,3.0,1.0,0.6000000000000005,10.05,7.959999999999999,0.0,4.0,5.0,-1.0,-3.0,2.0,-0.6000000000000085,-0.7999999999999972,0.10000000000000142,-2.0,-1.1000000000000014,-2.7000000000000024,-0.2999999999999998,1.3999999999999986,-3.599999999999998,3.8000000000000007,4.699999999999999,2.6000000000000023,1.8199999999999985,1.2999999999999972,-2.0,1.25,0.8500000000000001,1.6199999999999992,2.4000000000000004,-0.6999999999999993,0.4000000000000057,-1.5999999999999959,-0.7599999999999998,-0.40000000000000213,-2.8000000000000025,1.4000000000000004,2.599999999999998,-2.500000000000002,1.9299999999999997,1.0,-2.1999999999999993,0.6200000000000001,-0.33000000000000007,1.3000000000000007,2.3999999999999986,0.9000000000000057,-2.5,0.08499999999999996,0.030000000000000027,-1.3000000000000012,10.000000000000142,-350.0,170.0000000000001,230.00000000000006,-2.8000000000000025,159.99999999999997,430.00000000000045,0.069,0.9000000000000057,-2.700000000000003,0.04299999999999998,-0.009000000000000008,-2.0000000000000018,-10.000000000000142,-750.0,80.00000000000007,-39.99999999999986,-2.2999999999999963,120.00000000000011,440.0000000000002,0.02300000000000002,0.6000000000000085,0.7999999999999972,-0.1899999999999995,-4.6000000000000005,-5.45,9.289999999999992,-14.189999999999998,1
